person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_label,loan_id,rate_was_missing,int_rate_filling,income_band,age_band,person_emp_length_band,loan_to_income_band
21,9600,OWN,5,EDUCATION,B,1000,11.14,0,0.1,No,2,Non Default,1,0,11.14,1. Under 30,1. Under 25,4. 3-5yrs,1. 0-10%
25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,1,0.57,No,3,Default,2,0,12.87,1. Under 30,2. 25-29,3. 1-2 yrs,4. 30-40%
23,65500,RENT,4,MEDICAL,C,35000,15.23,1,0.53,No,2,Default,3,0,15.23,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
24,54400,RENT,8,MEDICAL,C,35000,14.27,1,0.55,Yes,4,Default,4,0,14.27,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.25,No,2,Default,5,0,7.14,1. Under 30,1. Under 25,3. 1-2 yrs,3. 20-30%
26,77100,RENT,8,EDUCATION,B,35000,12.42,1,0.45,No,3,Default,6,0,12.42,4. 75k-100k,2. 25-29,5. 6-9 yrs,4. 30-40%
24,78956,RENT,5,MEDICAL,B,35000,11.11,1,0.44,No,4,Default,7,0,11.11,4. 75k-100k,1. Under 25,4. 3-5yrs,4. 30-40%
24,83000,RENT,8,PERSONAL,A,35000,8.9,1,0.42,No,2,Default,8,0,8.9,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,No,3,Default,9,0,14.74,1. Under 30,1. Under 25,5. 6-9 yrs,2. 10-20%
22,85000,RENT,6,VENTURE,B,35000,10.37,1,0.41,No,4,Default,10,0,10.37,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,10000,OWN,2,HOME IMPROVEMENT,A,4500,8.63,1,0.45,No,2,Default,11,0,8.63,1. Under 30,1. Under 25,3. 1-2 yrs,4. 30-40%
23,95000,RENT,2,VENTURE,A,35000,7.9,1,0.37,No,2,Default,12,0,7.9,4. 75k-100k,1. Under 25,3. 1-2 yrs,4. 30-40%
26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.32,No,4,Default,13,0,18.39,5. 100k-150k,2. 25-29,4. 3-5yrs,4. 30-40%
23,115000,RENT,2,EDUCATION,A,35000,7.9,0,0.3,No,4,Non Default,14,0,7.9,5. 100k-150k,1. Under 25,3. 1-2 yrs,3. 20-30%
